financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"asthma deaths [rate per 100,000]","asthma edp [f] [rate per 100,000]","asthma edp [m] [rate per 100,000]","asthma hospitalisations [f] [rate per 100,000]","asthma hospitalisations [m] [rate per 100,000]",asthma prevelance in children [% of children]
2018/2019,Nepean Blue Mountains,,0.1678571428571428,0.5155612244897959,2.02265228426396,17.240897435897438,0.0520502645502645,1.075,406.2,332.5,197.8,143.1,
2019/2020,Nepean Blue Mountains,,0.2178571428571428,0.4405612244897959,1.660152284263959,15.515897435897436,0.0145502645502645,0.775,366.3,275.4,138.1,109.2,
2020/2021,Nepean Blue Mountains,,0.1678571428571428,0.4280612244897959,1.91015228426396,16.84089743589744,0.0395502645502645,0.55,268.0,235.1,119.1,94.1,
2021/2022,Nepean Blue Mountains,,,,,,,,271.6,236.5,113.1,85.1,
2022/2023,Nepean Blue Mountains,,,,,,,,291.9,260.8,,,
2023/2024,Nepean Blue Mountains,,0.1928571428571428,0.4905612244897959,1.785152284263959,16.740897435897438,0.0395502645502645,,,,,,
2001/2002,Northern NSW,,,,,,,,,,222.6,226.6,
2002/2003,Northern NSW,,,,,,,,,,217.6,180.3,
2003/2004,Northern NSW,,,,,,,,,,217.8,169.6,11.1
2004/2005,Northern NSW,,,,,,,,,,182.3,204.7,10.75
2005/2006,Northern NSW,,,,,,,,,,203.2,183.8,11.75
2006/2007,Northern NSW,,,,,,,,,,171.4,180.7,12.95
2007/2008,Northern NSW,,,,,,,,,,184.1,201.8,12.85
2008/2009,Northern NSW,,,,,,,,,,173.9,212.4,12.8
2009/2010,Northern NSW,,,,,,,,,,192.8,181.8,12.8
2010/2011,Northern NSW,,,,,,,,,,162.0,158.1,12.75
2011/2012,Northern NSW,,,,,,,0.95,,,151.9,148.0,11.65
2012/2013,Northern NSW,,,,,,,0.95,,,124.6,168.6,10.95
2013/2014,Northern NSW,,,,,,,0.925,,,153.8,165.9,11.5
2014/2015,Northern NSW,,,,,,,0.825,663.2,569.8,174.4,153.1,12.65
2015/2016,Northern NSW,,,,,,,0.825,669.9,649.9,186.3,164.1,12.5
2016/2017,Northern NSW,,,,,,,0.95,620.7,544.5,180.6,140.5,12.15
2017/2018,Northern NSW,,,,,,,1.175,664.0,580.1,180.8,146.8,13.0
2018/2019,Northern NSW,,,,,,,1.35,583.3,496.5,144.8,111.7,
