financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,asthma edp [f],asthma edp [m],asthma hospitalisations [f],asthma hospitalisations [m],copd deaths [f],copd deaths [m],copd hospitalisations [f],copd hospitalisations [m],iap deaths [f],iap deaths [m],iap hospitalisations [f],iap hospitalisations [m]
2016/2017,South Western Sydney,0.2305910840462104,0.6184612669161064,0.7217657218018579,1.851354296205579,17.172916666666666,0.0482426520891976,331.8,322.1,169.225,117.7,22.1,33.6,221.0,275.6,8.9,9.6,328.5,386.1
2017/2018,South Western Sydney,0.2268424675660385,0.6473568451923719,0.8058900520707791,1.944652193772641,20.64375,0.0519218367647328,292.5,280.8,168.725,111.7,20.5,28.7,229.3,244.7,8.6,9.6,378.6,434.3
2018/2019,South Western Sydney,0.2010651234364227,0.6973454542097005,0.7994661749857594,1.9073747438212951,20.085416666666667,0.0580738560009937,306.8,311.3,167.775,131.0,19.1,23.4,215.7,257.5,7.7,9.9,358.4,413.1
2019/2020,South Western Sydney,0.1986673888293791,0.6349472896785444,0.7714376783807076,1.9597857208670224,20.50016933573685,0.0484844013339424,268.3,240.6,149.65,99.05,17.1,24.2,189.2,212.6,5.9,8.7,326.3,384.7
2020/2021,South Western Sydney,0.1423910410370858,0.6551222983361523,0.5562991949209095,1.8712453605561,16.506249999999998,0.0342643662843513,220.6,211.7,96.375,78.6,15.4,23.3,113.5,151.1,4.8,6.3,176.4,233.6
2021/2022,South Western Sydney,0.1021367411835901,0.5893832244626266,0.4850553320735976,1.736121473260763,13.8375,0.0300106106684908,217.2,207.4,98.45,86.05,19.775,25.825,105.2,127.0,5.8,7.975,200.225,262.925
2022/2023,South Western Sydney,0.1007303399416946,0.6427489701802699,0.5106091081096767,1.797856521393066,13.893045956921618,0.0370815312523902,250.3,248.3,103.54,88.39,24.15,28.35,149.13333333333333,203.63333333333333,6.800000000000001,9.65,224.05,292.25
2023/2024,South Western Sydney,0.1161194178930334,0.6514773750929004,0.6562829332006416,1.8508685444465456,17.643893423918932,0.0466174820208417,339.45000000000005,325.8,108.63,90.73,28.525,30.875,193.06666666666663,280.26666666666665,7.800000000000001,11.325,247.875,321.575
2014/2015,Southern NSW,,0.2189165139726544,0.3599331214103749,2.1583556686898766,,,428.6,403.3,106.025,70.575,32.9,33.4,219.1,267.0,8.8,13.0,315.8,371.9
2015/2016,Southern NSW,,0.2133868944695589,0.3544366379302887,2.1269432218374904,,,465.2,414.6,107.375,60.275,28.6,33.4,224.7,289.5,8.6,9.7,347.7,414.9
