year-month,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,asthma edp [f],asthma edp [m]
2022-05,Hunter New England,0.0666666666666666,0.8196729523893068,0.6857553607681287,1.4585612326097623,15.142857142857142,0.14,58.3,67.2
2022-06,Hunter New England,0.0666666666666666,0.9094123548926416,0.7960725549373621,1.6241806066010496,14.785714285714286,0.12,61.2,53.6
2022-07,Hunter New England,0.0673475819284808,0.475,0.6260211065423088,1.9510995756676213,13.714285714285714,0.1301755846690797,35.5,28.4
2022-08,Hunter New England,0.0666666666666666,0.6613396190559736,0.7366951832354095,1.8945373047498413,14.771428571428572,0.15,48.4,45.9
2022-09,Hunter New England,0.0666666666666666,0.3512645828803079,0.4971691515677738,2.1454432205465044,16.17142857142857,0.12,40.7,44.6
2022-10,Hunter New England,0.0666666666666666,0.2416666666666666,0.4083333333333332,2.157142857142857,16.37142857142857,0.13,44.5,47.3
2022-11,Hunter New England,0.0333333333333333,0.2166666666666666,0.3166666666666666,2.042857142857143,18.2,0.11,30.2,33.2
2022-12,Hunter New England,0.0333333333333333,0.2279893479289622,0.2825199701907732,1.952268835590191,18.885714285714283,0.1399999999999999,21.6,17.4
2023-01,Hunter New England,0.0666666666666666,0.1916666666666666,0.2666666666666666,1.8571428571428568,19.17142857142857,0.2133367153829428,23.2,18.7
2023-02,Hunter New England,0.0666666666666666,0.2583333333333333,0.2916666666666667,2.042857142857143,24.057142857142857,0.1399999999999999,28.7,38.4
2023-03,Hunter New England,0.0666666666666666,0.3613396190559736,0.4916666666666667,2.113047866542862,24.1,0.16,28.5,29.7
2023-04,Hunter New England,0.0666666666666666,0.519672952389307,0.4833333333333333,1.657142857142857,16.557142857142857,0.13,30.2,29.5
2023-05,Hunter New England,0.0666666666666666,0.9280062857226402,0.7833333333333333,1.5714285714285714,18.457142857142856,0.12,39.9,44.3
2023-06,Hunter New England,0.0666666666666666,0.9863396190559736,0.8333333333333334,1.5714285714285714,18.02857142857143,0.12,38.7,39.1
2023-07,Hunter New England,0.0666666666666666,1.0113396190559736,0.925,1.7,18.442857142857143,0.12,38.96153846153847,38.14615384615385
2023-08,Hunter New England,0.0666666666666666,0.7696729523893069,0.8166666666666668,2.0,18.457142857142856,0.12,39.22307692307693,37.19230769230769
2023-09,Hunter New England,0.1,0.6083333333333333,0.775,2.5285714285714285,24.4,0.15,39.48461538461539,36.238461538461536
2023-10,Hunter New England,0.0666666666666666,0.3487241103800959,0.5105748327952137,2.7142857142857144,25.557142857142857,0.13,39.746153846153845,35.284615384615385
2023-11,Hunter New England,0.0666666666666666,0.1583333333333333,0.3333333333333333,2.4714285714285715,20.97142857142857,0.105967987519886,40.00769230769231,34.330769230769235
2023-12,Hunter New England,0.0792444229708003,0.1583333333333333,0.35,2.742857142857143,24.8,0.15,40.26923076923077,33.37692307692308
2024-01,Hunter New England,0.0666666666666666,0.1593484743791461,0.2615481988003311,2.0,25.542857142857144,0.13,40.53076923076923,32.42307692307692
2024-02,Hunter New England,0.0666666666666666,0.2166666666666666,0.2916666666666667,2.0142857142857142,26.057142857142853,0.13,40.792307692307695,31.46923076923077
2024-03,Hunter New England,0.0666666666666666,0.3523059003638191,0.3903819553885058,1.9428571428571428,23.24285714285714,0.11,41.05384615384616,30.515384615384612
