sex,lhd,financial year,"rate per 100,000 population"
Females,Northern NSW,2006/2007,190.6
Females,Northern NSW,2007/2008,212.6
Females,Northern NSW,2008/2009,245.7
Females,Northern NSW,2009/2010,233.8
Females,Northern NSW,2010/2011,238.8
Females,Northern NSW,2011/2012,231.4
Females,Northern NSW,2012/2013,263.7
Females,Northern NSW,2013/2014,248.5
Females,Northern NSW,2014/2015,228.1
Females,Northern NSW,2015/2016,230.1
Females,Northern NSW,2016/2017,250.5
Females,Northern NSW,2017/2018,272.3
Females,Northern NSW,2018/2019,248.2
Females,Northern NSW,2019/2020,229.6
Females,Northern NSW,2020/2021,158.8
Females,Northern NSW,2021/2022,164.4
Females,Mid North Coast,2001/2002,268.1
Females,Mid North Coast,2002/2003,230.2
Females,Mid North Coast,2003/2004,244.9
Females,Mid North Coast,2004/2005,206.8
Females,Mid North Coast,2005/2006,202
Females,Mid North Coast,2006/2007,169.9
Females,Mid North Coast,2007/2008,237.9
Females,Mid North Coast,2008/2009,266.2
Females,Mid North Coast,2009/2010,241.8
Females,Mid North Coast,2010/2011,264.8
Females,Mid North Coast,2011/2012,267.9
Females,Mid North Coast,2012/2013,295.1
Females,Mid North Coast,2013/2014,273
Females,Mid North Coast,2014/2015,289.7
Females,Mid North Coast,2015/2016,292
Females,Mid North Coast,2016/2017,264.5
Females,Mid North Coast,2017/2018,289
Females,Mid North Coast,2018/2019,268.5
Females,Mid North Coast,2019/2020,272.8
Females,Mid North Coast,2020/2021,224.3
Females,Mid North Coast,2021/2022,190
Females,Southern NSW,2001/2002,237
Females,Southern NSW,2002/2003,227.6
Females,Southern NSW,2003/2004,206.3
Females,Southern NSW,2004/2005,249.5
Females,Southern NSW,2005/2006,246.6
Females,Southern NSW,2006/2007,190.2
Females,Southern NSW,2007/2008,216.1
Females,Southern NSW,2008/2009,264.9
Females,Southern NSW,2009/2010,240.5
Females,Southern NSW,2010/2011,234.9
Females,Southern NSW,2011/2012,279.6
Females,Southern NSW,2012/2013,269.5
Females,Southern NSW,2013/2014,226.1
Females,Southern NSW,2014/2015,219.1
Females,Southern NSW,2015/2016,224.7
Females,Southern NSW,2016/2017,261.3
Females,Southern NSW,2017/2018,313.5
Females,Southern NSW,2018/2019,304
Females,Southern NSW,2019/2020,251
Females,Southern NSW,2020/2021,156.7
Females,Southern NSW,2021/2022,140.7
Females,Murrumbidgee,2001/2002,335.6
Females,Murrumbidgee,2002/2003,396.5
Females,Murrumbidgee,2003/2004,428.8
Females,Murrumbidgee,2004/2005,423.9
Females,Murrumbidgee,2005/2006,408.8
Females,Murrumbidgee,2006/2007,343.1
Females,Murrumbidgee,2007/2008,361.8
Females,Murrumbidgee,2008/2009,400.7
Females,Murrumbidgee,2009/2010,371.9
Females,Murrumbidgee,2010/2011,362.1
Females,Murrumbidgee,2011/2012,373.1
Females,Murrumbidgee,2012/2013,370.7
Females,Murrumbidgee,2013/2014,408.9
Females,Murrumbidgee,2014/2015,413.6
Females,Murrumbidgee,2015/2016,363.9
Females,Murrumbidgee,2016/2017,394.9
Females,Murrumbidgee,2017/2018,382.3
Females,Murrumbidgee,2018/2019,381.3
Females,Murrumbidgee,2019/2020,351.7
Females,Murrumbidgee,2020/2021,260.4
Females,Murrumbidgee,2021/2022,252.3
Females,Western NSW,2001/2002,396.6
Females,Western NSW,2002/2003,375.7
Females,Western NSW,2003/2004,422.3
Females,Western NSW,2004/2005,359.2
Females,Western NSW,2005/2006,357.7
Females,Western NSW,2006/2007,329.1
Females,Western NSW,2007/2008,359.1
Females,Western NSW,2008/2009,320
Females,Western NSW,2009/2010,354.3
Females,Western NSW,2010/2011,357.3
Females,Western NSW,2011/2012,328.8
Females,Western NSW,2012/2013,338.7
Females,Western NSW,2013/2014,358.8
Females,Western NSW,2014/2015,369
Females,Western NSW,2015/2016,333
Females,Western NSW,2016/2017,345.9
Females,Western NSW,2017/2018,381.7
Females,Western NSW,2018/2019,347.4
Females,Western NSW,2019/2020,333
Females,Western NSW,2020/2021,269.5
Females,Western NSW,2021/2022,261.5
Females,Far West,2001/2002,241.6
Females,Far West,2002/2003,421.1
Females,Far West,2003/2004,275.5
Females,Far West,2004/2005,258.2
Females,Far West,2005/2006,325.1
Females,Far West,2006/2007,311.2
Females,Far West,2007/2008,302.8
Females,Far West,2008/2009,348.4
Females,Far West,2009/2010,300.5
Females,Far West,2010/2011,284.3
Females,Far West,2011/2012,376.8
Females,Far West,2012/2013,409.2
Females,Far West,2013/2014,322.5
Females,Far West,2014/2015,436
Females,Far West,2015/2016,362.6
Females,Far West,2016/2017,364.2
