date,sex,lhd,"rate per 100,000 population"
2022-12,Males,Illawarra Shoalhaven,18.3
2023-01,Males,Illawarra Shoalhaven,15.1
2023-02,Males,Illawarra Shoalhaven,22.9
2023-03,Males,Illawarra Shoalhaven,31.2
2023-04,Males,Illawarra Shoalhaven,19.5
2023-05,Males,Illawarra Shoalhaven,34.8
2023-06,Males,Illawarra Shoalhaven,23.0
2014-07,Males,Western Sydney,28.9
2014-08,Males,Western Sydney,29.5
2014-09,Males,Western Sydney,23.6
2014-10,Males,Western Sydney,23.1
2014-11,Males,Western Sydney,21.1
2014-12,Males,Western Sydney,28.0
2015-01,Males,Western Sydney,13.2
2015-02,Males,Western Sydney,28.5
2015-03,Males,Western Sydney,28.1
2015-04,Males,Western Sydney,30.4
2015-05,Males,Western Sydney,35.1
2015-06,Males,Western Sydney,29.6
2015-07,Males,Western Sydney,25.8
2015-08,Males,Western Sydney,30.0
2015-09,Males,Western Sydney,24.1
2015-10,Males,Western Sydney,24.3
2015-11,Males,Western Sydney,22.5
2015-12,Males,Western Sydney,16.0
2016-01,Males,Western Sydney,18.5
2016-02,Males,Western Sydney,36.4
2016-03,Males,Western Sydney,25.3
2016-04,Males,Western Sydney,27.6
2016-05,Males,Western Sydney,34.0
2016-06,Males,Western Sydney,26.2
2016-07,Males,Western Sydney,21.8
2016-08,Males,Western Sydney,30.7
2016-09,Males,Western Sydney,26.0
2016-10,Males,Western Sydney,24.3
2016-11,Males,Western Sydney,20.3
2016-12,Males,Western Sydney,20.5
2017-01,Males,Western Sydney,12.3
2017-02,Males,Western Sydney,30.3
2017-03,Males,Western Sydney,28.7
2017-04,Males,Western Sydney,25.4
2017-05,Males,Western Sydney,33.6
2017-06,Males,Western Sydney,31.5
2017-07,Males,Western Sydney,21.6
2017-08,Males,Western Sydney,22.1
2017-09,Males,Western Sydney,20.1
2017-10,Males,Western Sydney,18.4
2017-11,Males,Western Sydney,25.6
2017-12,Males,Western Sydney,19.5
2018-01,Males,Western Sydney,13.3
2018-02,Males,Western Sydney,27.5
2018-03,Males,Western Sydney,26.7
2018-04,Males,Western Sydney,15.9
2018-05,Males,Western Sydney,29.8
2018-06,Males,Western Sydney,21.6
2018-07,Males,Western Sydney,14.7
2018-08,Males,Western Sydney,17.2
2018-09,Males,Western Sydney,20.8
2018-10,Males,Western Sydney,16.0
2018-11,Males,Western Sydney,16.9
2018-12,Males,Western Sydney,17.1
2019-01,Males,Western Sydney,15.5
2019-02,Males,Western Sydney,26.1
2019-03,Males,Western Sydney,28.6
2019-04,Males,Western Sydney,28.4
2019-05,Males,Western Sydney,30.6
2019-06,Males,Western Sydney,24.2
2019-07,Males,Western Sydney,13.9
2019-08,Males,Western Sydney,20.3
2019-09,Males,Western Sydney,19.3
2019-10,Males,Western Sydney,19.0
2019-11,Males,Western Sydney,19.1
2019-12,Males,Western Sydney,19.5
2020-01,Males,Western Sydney,13.1
2020-02,Males,Western Sydney,22.0
2020-03,Males,Western Sydney,22.8
2020-04,Males,Western Sydney,7.9
2020-05,Males,Western Sydney,5.9
2020-06,Males,Western Sydney,19.7
2020-07,Males,Western Sydney,15.7
2020-08,Males,Western Sydney,18.2
2020-09,Males,Western Sydney,12.1
2020-10,Males,Western Sydney,11.3
2020-11,Males,Western Sydney,18.3
2020-12,Males,Western Sydney,7.8
2021-01,Males,Western Sydney,6.7
2021-02,Males,Western Sydney,18.2
2021-03,Males,Western Sydney,19.8
2021-04,Males,Western Sydney,15.3
2021-05,Males,Western Sydney,26.6
2021-06,Males,Western Sydney,18.0
2021-07,Males,Western Sydney,9.3
2021-08,Males,Western Sydney,6.3
2021-09,Males,Western Sydney,5.4
2021-10,Males,Western Sydney,6.5
2021-11,Males,Western Sydney,11.6
2021-12,Males,Western Sydney,7.9
2022-01,Males,Western Sydney,6.7
2022-02,Males,Western Sydney,14.9
2022-03,Males,Western Sydney,27.5
2022-04,Males,Western Sydney,30.5
2022-05,Males,Western Sydney,39.6
2022-06,Males,Western Sydney,19.7
2022-07,Males,Western Sydney,15.7
2022-08,Males,Western Sydney,20.3
2022-09,Males,Western Sydney,17.5
2022-10,Males,Western Sydney,17.3
2022-11,Males,Western Sydney,18.7
2022-12,Males,Western Sydney,13.5
2023-01,Males,Western Sydney,10.7
2023-02,Males,Western Sydney,23.6
2023-03,Males,Western Sydney,14.0
2023-04,Males,Western Sydney,18.0
2023-05,Males,Western Sydney,21.9
2023-06,Males,Western Sydney,18.3
2014-07,Males,Nepean Blue Mountains,31.9
2014-08,Males,Nepean Blue Mountains,33.5
2014-09,Males,Nepean Blue Mountains,41.4
2014-10,Males,Nepean Blue Mountains,32.7
2014-11,Males,Nepean Blue Mountains,22.6
2014-12,Males,Nepean Blue Mountains,29.5
2015-01,Males,Nepean Blue Mountains,20.9
2015-02,Males,Nepean Blue Mountains,32.6
2015-03,Males,Nepean Blue Mountains,29.2
2015-04,Males,Nepean Blue Mountains,29.4
2015-05,Males,Nepean Blue Mountains,42.9
2015-06,Males,Nepean Blue Mountains,31.1
2015-07,Males,Nepean Blue Mountains,29.8
2015-08,Males,Nepean Blue Mountains,38.1
2015-09,Males,Nepean Blue Mountains,29.3
2015-10,Males,Nepean Blue Mountains,26.8
2015-11,Males,Nepean Blue Mountains,25.7
2015-12,Males,Nepean Blue Mountains,18.8
2016-01,Males,Nepean Blue Mountains,20.5
2016-02,Males,Nepean Blue Mountains,47.7
2016-03,Males,Nepean Blue Mountains,28.7
2016-04,Males,Nepean Blue Mountains,22.9
2016-05,Males,Nepean Blue Mountains,29.5
2016-06,Males,Nepean Blue Mountains,28.3
2016-07,Males,Nepean Blue Mountains,30.4
2016-08,Males,Nepean Blue Mountains,33.1
2016-09,Males,Nepean Blue Mountains,30.2
2016-10,Males,Nepean Blue Mountains,27.1
2016-11,Males,Nepean Blue Mountains,24.9
2016-12,Males,Nepean Blue Mountains,19.9
2017-01,Males,Nepean Blue Mountains,14.8
2017-02,Males,Nepean Blue Mountains,29.2
2017-03,Males,Nepean Blue Mountains,32.8
2017-04,Males,Nepean Blue Mountains,36.8
2017-05,Males,Nepean Blue Mountains,47.5
2017-06,Males,Nepean Blue Mountains,38.6
2017-07,Males,Nepean Blue Mountains,29.2
2017-08,Males,Nepean Blue Mountains,23.7
2017-09,Males,Nepean Blue Mountains,22.7
2017-10,Males,Nepean Blue Mountains,26.6
2017-11,Males,Nepean Blue Mountains,26.9
2017-12,Males,Nepean Blue Mountains,21.9
2018-01,Males,Nepean Blue Mountains,10.6
2018-02,Males,Nepean Blue Mountains,21.8
2018-03,Males,Nepean Blue Mountains,30.7
2018-04,Males,Nepean Blue Mountains,31.7
2018-05,Males,Nepean Blue Mountains,42.4
2018-06,Males,Nepean Blue Mountains,32.0
2018-07,Males,Nepean Blue Mountains,25.9
2018-08,Males,Nepean Blue Mountains,24.0
2018-09,Males,Nepean Blue Mountains,24.1
2018-10,Males,Nepean Blue Mountains,20.0
2018-11,Males,Nepean Blue Mountains,20.8
2018-12,Males,Nepean Blue Mountains,18.1
2019-01,Males,Nepean Blue Mountains,23.4
2019-02,Males,Nepean Blue Mountains,35.8
2019-03,Males,Nepean Blue Mountains,38.5
2019-04,Males,Nepean Blue Mountains,33.4
2019-05,Males,Nepean Blue Mountains,34.9
2019-06,Males,Nepean Blue Mountains,32.9
2019-07,Males,Nepean Blue Mountains,29.9
2019-08,Males,Nepean Blue Mountains,25.1
2019-09,Males,Nepean Blue Mountains,23.2
2019-10,Males,Nepean Blue Mountains,19.1
2019-11,Males,Nepean Blue Mountains,16.9
2019-12,Males,Nepean Blue Mountains,26.8
2020-01,Males,Nepean Blue Mountains,20.6
2020-02,Males,Nepean Blue Mountains,24.2
2020-03,Males,Nepean Blue Mountains,37.8
2020-04,Males,Nepean Blue Mountains,11.5
2020-05,Males,Nepean Blue Mountains,15.4
2020-06,Males,Nepean Blue Mountains,24.7
2020-07,Males,Nepean Blue Mountains,21.6
2020-08,Males,Nepean Blue Mountains,18.6
2020-09,Males,Nepean Blue Mountains,14.7
2020-10,Males,Nepean Blue Mountains,16.1
2020-11,Males,Nepean Blue Mountains,22.2
2020-12,Males,Nepean Blue Mountains,17.8
2021-01,Males,Nepean Blue Mountains,11.8
2021-02,Males,Nepean Blue Mountains,19.0
2021-03,Males,Nepean Blue Mountains,16.6
2021-04,Males,Nepean Blue Mountains,25.0
2021-05,Males,Nepean Blue Mountains,31.6
2021-06,Males,Nepean Blue Mountains,19.8
2021-07,Males,Nepean Blue Mountains,13.0
2021-08,Males,Nepean Blue Mountains,7.6
2021-09,Males,Nepean Blue Mountains,7.4
2021-10,Males,Nepean Blue Mountains,10.8
2021-11,Males,Nepean Blue Mountains,19.4
2021-12,Males,Nepean Blue Mountains,15.1
2022-01,Males,Nepean Blue Mountains,7.1
2022-02,Males,Nepean Blue Mountains,16.9
2022-03,Males,Nepean Blue Mountains,32.1
2022-04,Males,Nepean Blue Mountains,27.6
2022-05,Males,Nepean Blue Mountains,52.3
2022-06,Males,Nepean Blue Mountains,28.7
2022-07,Males,Nepean Blue Mountains,18.7
2022-08,Males,Nepean Blue Mountains,27.4
2022-09,Males,Nepean Blue Mountains,23.3
2022-10,Males,Nepean Blue Mountains,18.5
2022-11,Males,Nepean Blue Mountains,20.8
2022-12,Males,Nepean Blue Mountains,14.1
2023-01,Males,Nepean Blue Mountains,10.9
2023-02,Males,Nepean Blue Mountains,21.7
2023-03,Males,Nepean Blue Mountains,23.6
