sex,lhd,financial year,"rate per 100,000 population"
Females,Western NSW,2007/2008,444.3
Females,Western NSW,2008/2009,437
Females,Western NSW,2009/2010,408
Females,Western NSW,2010/2011,491.8
Females,Western NSW,2011/2012,429
Females,Western NSW,2012/2013,369.9
Females,Western NSW,2013/2014,385.5
Females,Western NSW,2014/2015,398
Females,Western NSW,2015/2016,451.6
Females,Western NSW,2016/2017,490.2
Females,Western NSW,2017/2018,476.2
Females,Western NSW,2018/2019,463.4
Females,Western NSW,2019/2020,435.9
Females,Western NSW,2020/2021,289.3
