financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,asthma edp [f],asthma edp [m],asthma hospitalisations [f],asthma hospitalisations [m],copd deaths [f],copd deaths [m],copd hospitalisations [f],copd hospitalisations [m],iap deaths [f],iap deaths [m],iap hospitalisations [f],iap hospitalisations [m]
2020/2021,Central Coast,0.133333333,0.233333333,0.35,1.716666667,14.075,0.058333333,308.3,286.1,76.125,46.225,27.9,29.3,204.3,200.6,4.8,7.5,185.3,219.2
2020/2021,Hunter New England,0.090205738,0.523746698,0.535401144,1.964825406,19.75595238,0.145523767,400.2,366,87.35,73.775,22.4,28.6,147.5,179.3,4.6,5.8,193.2,257.9
2020/2021,Illawarra Shoalhaven,0.2,0.3375,0.45,1.829166667,17.84583333,0.1,294.3,247.6,64.95,38.3,23.2,31.2,168.2,155.4,4.8,6.5,192.9,258.3
2020/2021,Mid North Coast,0.123380198,0.145022954,0.315671099,1.816952725,18.51193545,0,360.6,324.7,69.725,76.675,22.9,27.5,224.3,181.9,5.3,4.2,243.3,292.6
2020/2021,Murrumbidgee,0.133039168,0.201274704,0.328970058,1.801720241,29.48837935,0.016666667,607.9,458.9,135.75,82.475,24.8,34.3,260.4,297.5,5.8,5.2,262.2,377.6
2020/2021,Nepean Blue Mountains,0.108396499,0.198137532,0.318661602,1.863522474,14.90014722,0.028907288,268,235.1,96.95,68.325,20.1,22.4,141,132.4,6.3,9,182.8,247.3
2020/2021,Northern Sydney,0.161586312,0.399854312,0.668218928,1.693535649,14.69485869,0.027358977,129.6,146.1,74.8,58.55,7.9,11.5,58.1,66.3,5.7,6.3,136.4,182.5
2020/2021,South Eastern Sydney,0.255892252,2.45021977,1.331017426,1.390857735,17.45833333,0.099811588,178.3,174.3,74.6,59.95,12,16.2,65,91.8,4.2,5.2,135,187.1
2020/2021,South Western Sydney,0.142391041,0.655122298,0.556299195,1.871245361,16.50625,0.034264366,220.6,211.7,96.375,78.6,15.4,23.3,113.5,151.1,4.8,6.3,176.4,233.6
2020/2021,Southern NSW,0.133039168,0.2,0.341666667,2.041666667,18.51193545,0.06881431,375,331.7,82.85,54.2,22.1,32.6,156.7,230,3.9,4.5,255.7,306.4
2020/2021,Sydney,0.135597649,0.743314531,0.873356732,1.598568613,16.49583333,0.016666667,183.8,191.9,92.025,74.775,9.8,21.6,80.5,140.6,4,6,172.8,221.6
2020/2021,Western NSW,0.010342008,0.081591614,0.240002058,2.122618692,18.51193545,0.06881431,578.6,521.1,85.15,74,31,37.6,269.5,274.3,4.8,8.6,289.3,338.9
2020/2021,Western Sydney,0.1875,0.68125,0.75625,1.720833333,18.51193545,0.071053086,184.8,188.5,128.075,117.075,13.8,20.7,131.7,161.5,4,5.7,161.9,228
2021/2022,Central Coast,0.005148889,0.191666667,0.225,1.666666667,12.65833333,0.081451645,287.7,251,68.6,59,27.875,36.75,173.6,171.3,5.675,8.45,201.375,253.075
2021/2022,Hunter New England,0.066936199,0.483368717,0.515420435,1.863955385,18.84253173,0.138743079,398,367.1,75,64.025,23.075,30.125,150,172.1,5.5,6.175,194.5,265.125
2021/2022,Illawarra Shoalhaven,0.166666667,0.304166667,0.316666667,1.804166667,15.05,0.1,264.7,246.5,65.85,40.625,23.525,31.825,158.6,146.3,5.725,7.95,220.125,289.125
2021/2022,Mid North Coast,0.115513706,0.125692745,0.254596315,1.620833333,18.51193545,0.003646165,384.8,334.9,59.725,79.625,23.9,30.425,190,177.7,6.125,5.675,265.8,335.6
2021/2022,Murrumbidgee,0.133039168,0.153935263,0.267219166,1.804022983,23.69666913,0.033333333,582.8,463.2,210.5,102.975,25.7,34.525,252.3,241.4,6.775,6.8,262.625,385.75
2021/2022,Nepean Blue Mountains,0.106571609,0.170640123,0.279865369,1.818205978,12.85732133,0.028725834,271.6,236.5,97.125,66.775,19.725,24.05,122.5,160.6,6.775,9.1,209.175,279.45
2021/2022,Northern Sydney,0.177874996,0.345696854,0.571274761,1.686109647,12.78593803,0.020210186,119.7,131.2,61.275,54.4,9.325,13.7,56.1,65.5,6.025,6.85,154.975,207.375
2021/2022,South Eastern Sydney,0.160159624,2.100257977,1.141072079,1.391395282,15.30833333,0.098711569,180.9,158.6,83.3,59.5,13.75,19.475,62.4,75.6,4.725,5.775,155.975,226.15
2021/2022,South Western Sydney,0.102136741,0.589383224,0.485055332,1.736121473,13.8375,0.030010611,217.2,207.4,98.45,86.05,19.775,25.825,105.2,127,5.8,7.975,200.225,262.925
2021/2022,Southern NSW,0.133039168,0.185739173,0.239701655,1.949675293,18.51193545,0.06881431,390.5,310.5,84.525,33.425,19.35,31.825,140.7,190.1,4.725,5.35,247.35,316.05
2021/2022,Sydney,0.101416032,0.626840858,0.779641191,1.498413491,13.99583333,0.018657353,159.1,160.1,82.375,57.575,15.125,28.375,67.8,102,5.175,6.825,239.325,308.65
2021/2022,Western NSW,0.000176354,0.075388981,0.183114196,2.009218071,18.51193545,0.06881431,619.8,502.3,91.75,67.025,27.325,36.175,261.5,225.6,5.675,8.7,273.525,331.95
2021/2022,Western Sydney,0.154166667,0.579166667,0.695833333,1.6,18.51193545,0.034156298,187.4,184,103.775,91.5,13.8,20.7,118.9,127.3,4,5.7,161.9,228
2022/2023,Central Coast,0.005148889,0.191666667,0.225,1.683333333,12,0.058333333,348.8,308.1,154.2333333,121.125,27.85,44.2,196.2666667,234.9333333,6.55,9.4,217.45,286.95
2022/2023,Hunter New England,0.061167854,0.451607113,0.501450451,1.913033067,18.20714286,0.138626025,410.6,416.7,75.62833333,64.855,23.75,31.65,163.6333333,215.2333333,6.4,6.55,195.8,272.35
2022/2023,Illawarra Shoalhaven,0.175,0.295833333,0.366666667,1.8625,15.61666667,0.1,268.9,269.5,94.1,72.45833333,23.85,32.45,195.1,214.6333333,6.65,9.4,247.35,319.95
2022/2023,Mid North Coast,0.061719529,0.125898888,0.268230163,1.547355615,18.51193545,0,447.9,330.1,137.4083333,120.6666667,24.9,33.35,238.5333333,329.9666667,6.95,7.15,288.3,378.6
2022/2023,Murrumbidgee,0.133039168,0.159743323,0.308389221,1.833264156,26.7166107,0.041666667,761.7,651.8,186.75,103.2416667,26.6,34.75,233.7,287.4666667,7.75,8.4,263.05,393.9
2022/2023,Nepean Blue Mountains,0.038761116,0.175812497,0.334188033,1.872412762,12.35479437,0.025035325,291.9,260.8,134.6416667,97.08333333,19.35,25.7,141.6666667,199.6666667,7.25,9.2,235.55,311.6
2022/2023,Northern Sydney,0.025,0.503899463,0.644599928,1.700327854,11.92303911,0.048204692,146.9,163.4,78.76666667,69.325,10.75,15.9,87.93333333,128.7333333,6.35,7.4,173.55,232.25
2022/2023,South Eastern Sydney,0.191666667,2.408333333,1.279166667,1.358333333,14.69166667,0.1,218,190,101.5083333,76.25833333,15.5,22.75,115.7,173.8,5.25,6.35,176.95,265.2
