financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"asthma deaths [rate per 100,000]","asthma edp [f] [rate per 100,000]","asthma edp [m] [rate per 100,000]","asthma hospitalisations [f] [rate per 100,000]","asthma hospitalisations [m] [rate per 100,000]",asthma prevelance in children [% of children],"copd deaths [f] [rate per 100,000]","copd deaths [m] [rate per 100,000]","copd hospitalisations [f] [rate per 100,000]","copd hospitalisations [m] [rate per 100,000]","iap deaths [f] [rate per 100,000]","iap deaths [m] [rate per 100,000]","iap hospitalisations [f] [rate per 100,000]","iap hospitalisations [m] [rate per 100,000]"
2006/2007,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,,,,180.9,168.5,11.3,,,169.9,292.5,,,278.4,389.1
2007/2008,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,,,,178.8,142.3,12.05,,,237.9,287.0,,,339.7,430.9
2008/2009,Mid North Coast,,,,,,,,,,147.0,129.6,12.1,,,266.2,318.7,,,357.1,391.0
2009/2010,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,,,,129.0,145.5,10.35,,,241.8,327.4,,,319.0,376.8
2010/2011,Mid North Coast,,0.1266666666666666,0.2883333333333334,1.569491525423729,,0.045,,,,166.5,144.4,8.3,,,264.8,303.2,,,292.9,340.1
2011/2012,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,0.95,,,180.8,122.2,9.25,18.8,38.8,267.9,335.0,10.6,9.8,300.6,393.0
2012/2013,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,1.0499999999999998,,,157.7,155.3,13.75,20.0,40.0,295.1,322.3,10.5,10.8,329.4,399.6
2013/2014,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,0.975,,,205.6,135.7,17.950000000000003,25.9,38.4,273.0,309.5,6.8,12.8,277.9,324.7
2014/2015,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,0.75,495.6,478.8,168.5,167.6,19.1,24.5,33.7,289.7,303.9,8.5,12.3,342.3,399.9
2015/2016,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,0.55,487.5,517.4,136.0,145.2,16.700000000000003,21.0,35.3,292.0,355.1,6.7,11.5,357.0,451.9
2016/2017,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.569491525423729,,0.045,0.425,462.2,511.6,179.2,167.8,13.05,22.5,38.9,264.5,331.8,6.7,9.2,298.2,407.4
2017/2018,Mid North Coast,,0.1266666666666666,0.2883333333333334,1.569491525423729,,0.045,0.525,422.3,471.1,137.7,169.5,11.85,24.4,36.5,289.0,313.1,8.7,8.8,355.7,428.2
2018/2019,Mid North Coast,,0.1699999999999999,0.24125,1.6271186440677967,,0.00875,0.725,477.4,429.7,150.6,139.0,,29.0,36.2,268.5,264.9,9.1,8.8,342.1,399.1
2019/2020,Mid North Coast,,0.1,0.3,1.75,,0.0,0.85,493.9,409.8,120.5,124.2,,25.9,32.4,272.8,242.3,8.7,6.4,341.3,392.9
2020/2021,Mid North Coast,,0.125,0.3,1.725,,0.0,0.85,360.6,324.7,80.5,86.2,,22.9,27.5,224.3,181.9,5.3,4.2,243.3,292.6
2021/2022,Mid North Coast,,,,,,,,384.8,334.9,64.2,88.2,,,,190.0,177.7,,,,
2022/2023,Mid North Coast,,,,,,,,447.9,330.1,,,,,,,,,,,
2023/2024,Mid North Coast,,0.1266666666666666,0.2883333333333333,1.2999999999999998,,0.0,,,,,,,,,,,,,,
2000/2001,Murrumbidgee,,0.1126760563380281,0.3544600938967136,1.93302752293578,24.18018018018018,0.0651162790697674,,,,,,,,,,,,,,
2001/2002,Murrumbidgee,,0.1126760563380281,0.3544600938967136,1.93302752293578,21.92252252252252,0.0651162790697674,,,,267.9,228.8,,,,335.6,634.5,,,333.3,464.6
2002/2003,Murrumbidgee,,0.1126760563380281,0.3544600938967136,1.93302752293578,27.55,0.0651162790697674,,,,231.0,187.4,,,,396.5,696.5,,,368.0,534.8
2003/2004,Murrumbidgee,,0.1126760563380281,0.3544600938967136,1.93302752293578,23.385714285714283,0.0651162790697674,,,,262.2,199.2,15.15,,,428.8,726.4,,,401.5,475.2
2004/2005,Murrumbidgee,,0.1126760563380281,0.3544600938967136,1.93302752293578,21.33719433719434,0.0651162790697674,,,,231.6,219.0,15.1,,,423.9,677.0,,,369.5,485.3
2005/2006,Murrumbidgee,,0.1126760563380281,0.3544600938967136,1.93302752293578,20.8,0.0651162790697674,,,,235.3,247.2,16.2,,,408.8,567.4,,,357.2,509.7
2006/2007,Murrumbidgee,,0.1666666666666666,0.4333333333333333,1.9666666666666668,33.61666666666667,0.1,,,,210.8,185.1,17.049999999999997,,,343.1,466.1,,,327.0,421.8
2007/2008,Murrumbidgee,,0.1265845070422535,0.3818075117370892,1.9375,25.83502252252252,0.0412790697674418,,,,191.5,195.3,16.45,,,361.8,537.2,,,400.6,484.8
2008/2009,Murrumbidgee,,,,,,,,,,207.2,210.7,16.299999999999997,,,400.7,446.9,,,374.6,465.7
2009/2010,Murrumbidgee,,0.1,0.2,2.15,18.425,0.025,,,,193.4,189.4,16.95,,,371.9,435.1,,,352.8,446.1
2010/2011,Murrumbidgee,,0.1714285714285714,0.1857142857142857,1.842857142857143,13.857142857142858,0.0235880398671096,,,,212.3,216.4,17.05,,,362.1,454.3,,,433.8,520.0
2011/2012,Murrumbidgee,,0.2025352112676056,0.2308920187793427,1.88,24.18018018018018,0.06,0.9,,,213.1,238.7,16.4,19.9,35.0,373.1,428.5,9.3,10.6,345.9,504.5
2012/2013,Murrumbidgee,,0.1,0.4111111111111111,1.911111111111111,24.18018018018018,0.0777777777777777,0.9,,,220.8,214.8,16.0,19.7,33.8,370.7,405.5,9.2,8.0,340.5,438.9
2013/2014,Murrumbidgee,,0.0111111111111111,0.4333333333333333,2.1222222222222222,24.18018018018018,0.0888888888888888,0.925,,,261.7,218.7,18.0,21.5,35.8,408.9,409.9,8.8,6.9,342.3,459.5
2014/2015,Murrumbidgee,,0.0,0.3222222222222222,2.092558613659531,24.18018018018018,0.0555555555555555,0.975,652.8,618.8,221.0,189.1,21.3,26.9,39.2,413.6,420.6,8.6,10.1,403.3,562.2
2015/2016,Murrumbidgee,,0.0555555555555555,0.3888888888888889,1.9444444444444444,24.18018018018018,0.0888888888888888,1.05,668.1,651.0,193.9,177.4,23.8,31.4,36.2,363.9,429.9,7.4,13.4,436.5,577.6
2016/2017,Murrumbidgee,,0.05,0.3399999999999999,2.03,24.18018018018018,0.06,1.2000000000000002,749.9,729.6,248.7,198.5,24.05,28.2,31.9,394.9,431.0,7.9,16.7,470.3,536.3
2017/2018,Murrumbidgee,,0.0857142857142857,0.3428571428571428,2.0428571428571427,24.18018018018018,0.0857142857142857,1.3250000000000002,653.7,557.8,226.9,163.7,21.7,23.0,35.8,382.3,431.7,8.7,11.8,498.7,590.3
2018/2019,Murrumbidgee,,0.1,0.375,1.925,24.18018018018018,0.125,1.425,670.5,501.0,229.5,155.8,,27.9,38.2,381.3,432.1,9.2,8.2,487.7,574.7
2019/2020,Murrumbidgee,,0.1,0.3,1.7,24.18018018018018,0.0,1.425,640.3,478.0,179.1,110.5,,29.0,34.7,351.7,395.6,8.0,6.3,479.1,509.6
2020/2021,Murrumbidgee,,0.1,0.3,1.925,24.18018018018018,0.05,1.35,607.9,458.9,143.2,93.6,,24.8,34.3,260.4,297.5,5.8,5.2,262.2,377.6
2021/2022,Murrumbidgee,,,,,,,,582.8,463.2,191.0,103.4,,,,252.3,241.4,,,,
2022/2023,Murrumbidgee,,,,,,,,761.7,651.8,,,,,,,,,,,
2023/2024,Murrumbidgee,,0.1,0.4,1.6,24.18018018018018,0.1,,,,,,,,,,,,,,
2000/2001,Nepean Blue Mountains,,0.24375,0.66875,1.975,17.033688210415015,0.069174537968552,,,,,,,,,,,,,,
2001/2002,Nepean Blue Mountains,,0.3125,0.6375,1.8762412891986064,16.395737179487178,0.0375,,,,156.1,161.1,,,,196.5,379.6,,,263.9,410.2
2002/2003,Nepean Blue Mountains,,0.525,0.8,1.8,15.95,0.05,,,,140.8,134.7,,,,237.8,347.6,,,293.1,344.1
2003/2004,Nepean Blue Mountains,,0.3571428571428571,0.7214285714285714,1.8928571428571428,18.45941391941392,0.0214285714285714,,,,133.2,135.2,15.95,,,222.7,307.2,,,290.7,362.0
2004/2005,Nepean Blue Mountains,,0.1856823979591836,0.5752049927113703,2.1300217548948512,16.085714285714285,0.0735071806500377,,,,168.0,175.5,14.5,,,239.6,290.6,,,276.0,364.9
