year-month,lhd,NO pphm,NO2 pphm,OZONE pphm,asthma edp
2021-03,Northern Sydney,0.1809442978243313,0.4765868053879757,1.7811190673870556,9.9
2021-04,Northern Sydney,0.3820236075690399,0.804970452154293,1.5226813651036295,15.7
2021-05,Northern Sydney,0.6248627451664012,0.9591506213188596,1.0174369258276366,17.4
2021-06,Northern Sydney,0.8909016251026106,1.006109773512406,1.004051704370022,14.9
2021-07,Northern Sydney,0.778930361325974,0.832004095229319,1.4433130586922749,7.7
2021-08,Northern Sydney,0.1439878875482372,0.6074707186481201,1.9149878022617848,6.6
2021-09,Northern Sydney,0.338801675732743,0.5702065971548544,2.4767713036750894,3.6
2021-10,Northern Sydney,0.3921607799893352,0.545829502410643,2.3979120513237397,6.0
2021-11,Northern Sydney,0.3174538323472054,0.4484620296255355,2.045368368611612,7.5
2021-12,Northern Sydney,0.1150365710699814,0.3142792558647587,1.8974353266241024,5.8
2022-01,Northern Sydney,0.2022386790875105,0.2189241021830887,1.489566543499327,5.2
2022-02,Northern Sydney,0.2519322439851006,0.3718983157281788,1.4538192796741891,9.3
2022-03,Northern Sydney,0.3702073256347867,0.5803158936433663,1.5190689471471863,14.1
2022-04,Northern Sydney,0.3258317112355826,0.6286260497878422,1.234691796919894,17.8
2022-05,Northern Sydney,0.4871320492750624,0.8394482464372235,1.051042920436852,27.5
2022-06,Northern Sydney,0.424649126105941,0.8978323194612244,1.3093383685258737,13.9
2022-07,Northern Sydney,0.4067350034883679,0.878337178308869,1.3536876782907337,11.0
2022-08,Northern Sydney,0.1999999999999999,0.6439150254423357,1.9422757491525795,18.0
2022-09,Northern Sydney,0.3991595681604754,0.6340955419240898,2.1164190678473584,16.3
2022-10,Northern Sydney,0.2973352530694104,0.4747435821010735,2.193980135947548,13.7
2022-11,Northern Sydney,0.2686194637054587,0.3486468486183704,2.126267712446346,10.8
2022-12,Northern Sydney,0.609573485038023,0.4790483329374262,1.7998890534265934,11.2
2023-01,Northern Sydney,0.4437153247834591,0.3845353320531754,1.3251788876895567,8.9
2023-02,Northern Sydney,0.4684405368500615,0.4459797321283548,2.0899619161498446,16.0
2023-03,Northern Sydney,0.4479511068412185,0.5765258964600236,1.7645371665617289,13.5
2023-04,Northern Sydney,0.7771155134794422,0.8201382141007066,1.4617867258678832,10.8
